year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,31,16,3,1,3,1,1,3,66239.25,2240,1,1.083752974,1,30,0
2010,23,16,3,2,1,1,2,2,13047.125,2240,1,0.456877403,1,18,0
2010,71,8,0,2,2,0,1,4,17061.625,2240,2,0.4624039,1,70,1
2010,82,10,0,2,1,6,2,3,7226.1,2240,2,0.557622139,1,80,0
2010,78,0,0,2,2,3,2,,,2241,1,1.286241834,1,70,
2010,40,6,0,1,2,0,2,1,9032.625,2241,1,0.547025567,1,40,0
2010,46,16,2,2,2,2,2,,66239.25,2241,1,0.546233796,1,40,
2010,80,15,2,2,2,1,2,2,17061.625,2241,1,0.42427689,1,80,0
2010,31,14,1,2,2,0,2,,,2241,2,5.171595255,1,30,
2010,,14,1,2,2,,2,1,,2241,2,1.25744641,1,,0
2010,31,14,2,2,2,0,1,4,44159.5,2241,2,1.88463687,1,30,1
2010,21,13,1,1,3,3,2,5,36130.5,2241,2,3.180393728,1,18,1
2010,58,12,1,1,2,0,2,5,80290,2242,1,0.660355825,1,50,1
2010,36,13,1,2,3,0,1,2,19068.875,2242,1,0.816157482,1,30,0
2010,57,10,0,2,1,4,2,5,13047.125,2242,1,0.923153553,1,50,1
2010,28,10,0,2,1,2,1,,3613.05,2242,1,1.371418422,1,18,
2010,80,14,2,2,1,1,2,4,11039.875,2242,2,0.511644012,1,80,1
2010,84,9,0,2,1,1,1,4,,2242,2,0.448606074,1,80,1
2010,51,12,1,1,3,2,1,,54195.75,2242,2,1.068273046,1,50,
2010,35,16,3,1,1,2,2,3,66239.25,2243,1,0.451932286,1,30,0
2010,49,12,1,1,1,3,2,5,44159.5,2243,1,0.563338879,1,40,1
2010,56,13,1,1,1,2,2,4,80290,2243,1,3.246524759,1,50,1
2010,88,10,0,2,2,1,2,2,,2243,2,0.372003161,1,80,0
2010,23,10,0,2,2,0,2,2,2810.15,2243,2,0.381604114,1,18,0
2010,35,17,4,2,1,1,1,2,152908.1861,2244,1,2.247914249,1,30,0
2010,26,16,3,2,1,3,1,,152908.1861,2244,1,1.135806978,1,18,
2010,21,15,1,2,3,6,1,2,,2244,1,1.012549793,1,18,0
2010,21,14,2,2,3,1,2,1,4415.95,2244,1,0.556902386,1,18,0
2010,33,16,3,2,1,1,1,3,54195.75,2244,2,0.39567769,1,30,0
2010,53,16,3,2,1,0,1,4,152908.1861,2244,2,0.943851957,1,50,1
2010,63,20,4,2,1,0,1,,,2244,2,0.974039425,1,60,
2010,34,18,4,1,1,2,1,,152908.1861,2244,2,0.895335147,1,30,
2010,75,15,2,1,1,0,1,3,,2245,1,1.06251975,1,70,0
