year,wrkstat,hrs1,hrs2,marital,martype,agewed,divorce,widowed,childs,age,degree,padeg,madeg,spdeg,major1,sex,race,born,parborn,babies,preteen,teens,adults,income,rincome,region,attend,postlife,happy,hapmar,health,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,mannersy,successy,honesty,cleany,judgmeny,controly,roley,amicably,obeysy,responsy,considey,interesy,studiouy,mannersz,successz,honestz,cleanz,judgmenz,controlz,rolez,amicablz,obeysz,responsz,considez,interesz,studiouz,obey,popular,thnkself,workhard,helpoth,chldsex,chldsex1,agedchld,partfull,jobinc,jobpay,sexeduc,arrest,loclived,god,racpromo,impfinan,kdeduc1,kdeduc2,kdeduc3,kdeduc4,kdeduc5,kdeduc6,kdeduc7,kdeduc8,kdeduc9,meltpot,hspasn10,immecon,immunemp,immunite,obrespct,balwkfam,hapfeel,sad,worried,showangr,angrywrk,wkfambiz,fambiz,typeorg,hlthinsr,mntlcare,immcrmup,immnew,immnojob,numcntct,numprobs,howfree,rhowfree,ethimp,ethdiff,wrktype,yearsjob,wkvsfam,famvswk,secondwk,overwork,wkracism,physhlth,height,misswork,natmeet,ownhh1,numemps,compwage,startbiz,ownbiz,numown,yearbiz,paidemps,bizgross,bizshare,owninc,whybiz,numemps5,agecmeus,marunion,hssexed,localgvt,unhappy,meovrwrk,jobvsfam,happy7,famwkbst,famwklst,educemp,hiinc,workweek,numemply,hapunhap,obeythnk,comtype,livecom1,citizen,parcit,ethclose,immimp,immcult,immeduc,immassim,chldeduc,hrdshp6,ethnic,uscitzn,famgen,talkspvs,wtssall
2008,8,,,2,,,1,,5,49,1,1,1,,,1,3,1,8,0,0,1,1,7,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,3,1,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,22,,2,,0.437744751
2008,1,40,,1,,,2,2,2,48,4,,1,4,,1,3,2,8,0,0,0,1,12,12,2,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,24,,,,,2,,,,,,,,,,,,,,,,,,,,,,39,1,1,,0.437744751
2008,1,35,,1,,,1,2,1,47,1,,3,1,,1,2,1,0,0,0,0,2,12,12,2,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,4,2,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,1,,1,,2.135340251
2008,4,,,3,,,,2,1,32,1,,1,,,1,2,1,0,0,0,0,3,12,10,2,3,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,3,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,2,,1.313234254
2008,1,43,,4,,,,2,2,37,1,1,1,,,2,2,2,8,2,0,0,1,12,12,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,26,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,2,2,,0.437744751
2008,5,,,1,,,2,2,2,72,3,0,1,3,,1,2,1,0,0,0,0,2,,,2,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,1,,1,,0.875489503
2008,2,40,,5,,,,,0,21,1,3,3,,,2,2,2,8,1,0,0,4,,,2,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,1,2,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,39,2,2,,1.750979005
2008,1,30,,5,,,,,1,36,1,,1,,,2,2,2,0,1,1,0,3,,,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,1,3,,,,1,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,18,,,,,1,,,,,,,,,2,,,,,,,,,,,,,39,1,2,,1.067670125
2008,1,40,,2,,,2,,1,48,1,0,0,,,2,2,2,8,0,0,0,1,,,2,6,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,39,1,1,,0.437744751
2008,8,,,3,,,,2,1,56,0,,0,,,2,2,2,8,0,0,0,1,,,2,0,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,29,,,,,,,,,,,,,,3,,,,,,,,,,,,,39,1,1,,0.437744751
2008,1,45,,1,,,2,2,2,62,4,0,1,3,,1,2,1,0,0,0,0,2,12,12,2,8,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,3,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,1,,0.875489503
2008,1,40,,5,,,,,0,40,4,0,0,,,1,2,2,8,0,0,0,1,12,12,2,0,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,2,3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,18,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1,1,,0.437744751
2008,5,,,,,,,,1,62,3,1,1,,,2,1,1,8,0,0,1,1,11,,2,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,3,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,29,,2,,0.437744751
2008,5,,,1,,,1,2,4,71,1,1,1,1,,1,2,1,0,0,0,0,2,12,,2,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,30,,1,,0.875489503
