age,age_cat,coninc,coninc_cat,coninc_log,decrease_imm,degree,hs_or_college,letin1a,othlang,partyid,president,race,sex,year,vstrat,vpsu,wtsscomp
49,40-49,6228.75,<20K,8.736930949595614,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Democrat,Obama,Other,Male,2008,2106.0,1.0,0.437744751
48,40-49,99660.0,80K-100K,11.509519671835395,Increase or stay the same,College,Some college,Remain the same,No,Independent,Obama,Other,Male,2008,2106.0,1.0,0.437744751
47,40-49,37372.5,30K-40K,10.52869041882367,Increase or stay the same,HS or assoc,HS or less,Increased a little,No,Democrat,Obama,Black,Male,2008,2106.0,1.0,2.135340251
32,30-39,31143.75,30K-40K,10.346368862029715,,HS or assoc,HS or less,,No,Democrat,Obama,Black,Male,2008,2106.0,1.0,1.313234254
37,30-39,26991.25,20K-30K,10.203268018389041,Increase or stay the same,HS or assoc,HS or less,Increased a little,No,Democrat,Obama,Black,Female,2008,2106.0,2.0,0.437744751
72,70+,,,,Increase or stay the same,College,Some college,Remain the same,No,Democrat,Obama,Black,Male,2008,2106.0,2.0,0.875489503
21,18-29,,,,,HS or assoc,HS or less,,No,Independent,Obama,Black,Female,2008,2106.0,2.0,1.750979005
36,30-39,,,,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,Black,Female,2008,2106.0,2.0,1.067670125
48,40-49,,,,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Independent,Obama,Black,Female,2008,2106.0,2.0,0.437744751
56,50-59,,,,,No degree,HS or less,,No,Democrat,Obama,Black,Female,2008,2106.0,2.0,0.437744751
62,60-69,175621.4138,160K+,12.076085899217535,Increase or stay the same,College,Some college,Remain the same,No,Democrat,Obama,Black,Male,2008,2107.0,1.0,0.875489503
40,40-49,99660.0,80K-100K,11.509519671835395,,College,Some college,,Yes,Democrat,Obama,Black,Male,2008,2107.0,1.0,0.437744751
62,60-69,17648.125,<20K,9.778384824423775,,College,Some college,,No,Democrat,Obama,White,Female,2008,2107.0,1.0,0.437744751
71,70+,31143.75,30K-40K,10.346368862029715,,HS or assoc,HS or less,,No,Democrat,Obama,Black,Male,2008,2107.0,1.0,0.875489503
58,50-59,,,,,College,Some college,,No,Democrat,Obama,Black,Female,2008,2107.0,1.0,0.437744751
34,30-39,,,,Decrease,College,Some college,Reduced a little,Yes,Republican,Obama,Other,Female,2008,2107.0,2.0,0.875489503
26,18-29,68516.25,60K-80K,11.134826222393984,Increase or stay the same,HS or assoc,HS or less,Remain the same,Yes,Independent,Obama,White,Male,2008,2107.0,2.0,0.437744751
33,30-39,56058.75,40K-60K,10.934155526931834,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Republican,Obama,White,Female,2008,2107.0,2.0,0.875489503
36,30-39,175621.4138,160K+,12.076085899217535,,College,Some college,,Yes,Independent,Obama,White,Male,2008,2108.0,1.0,0.437744751
37,30-39,45677.5,40K-60K,10.72936111428582,Decrease,HS or assoc,Some college,Reduced a little,Yes,Independent,Obama,Other,Male,2008,2108.0,1.0,0.875489503
52,50-59,175621.4138,160K+,12.076085899217535,,HS or assoc,HS or less,,No,Republican,Obama,White,Male,2008,2108.0,1.0,2.135340251
61,60-69,37372.5,30K-40K,10.52869041882367,,No degree,HS or less,,Yes,Democrat,Obama,White,Female,2008,2108.0,2.0,0.875489503
63,60-69,56058.75,40K-60K,10.934155526931834,,HS or assoc,HS or less,,No,Republican,Obama,White,Female,2008,2108.0,2.0,0.875489503
74,70+,,,,Decrease,HS or assoc,HS or less,Reduced a little,No,Republican,Obama,White,Female,2008,2108.0,2.0,1.313234254
70,70+,,,,,HS or assoc,HS or less,,Yes,Democrat,Obama,White,Female,2008,2108.0,2.0,0.437744751
38,30-39,,,,,HS or assoc,HS or less,,No,Democrat,Obama,White,Female,2008,2108.0,2.0,0.875489503
32,30-39,31143.75,30K-40K,10.346368862029715,,HS or assoc,HS or less,,No,Democrat,Obama,Black,Male,2008,2109.0,1.0,2.135340251
42,40-49,175621.4138,160K+,12.076085899217535,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,Other,Male,2008,2109.0,1.0,0.875489503
41,40-49,45677.5,40K-60K,10.72936111428582,,HS or assoc,Some college,,Yes,Democrat,Obama,Black,Male,2008,2109.0,1.0,0.437744751
45,40-49,68516.25,60K-80K,11.134826222393984,Increase or stay the same,College,Some college,Remain the same,No,Democrat,Obama,White,Male,2008,2109.0,1.0,0.437744751
78,70+,68516.25,60K-80K,11.134826222393984,,College,Some college,,No,Democrat,Obama,White,Female,2008,2109.0,1.0,0.437744751
54,50-59,,,,Increase or stay the same,HS or assoc,HS or less,Increased a lot,Yes,Democrat,Obama,Other,Female,2008,2109.0,2.0,2.135340251
49,40-49,,,,Increase or stay the same,No degree,HS or less,Remain the same,Yes,Independent,Obama,Other,Male,2008,2110.0,1.0,0.875489503
66,60-69,17648.125,<20K,9.778384824423775,Decrease,HS or assoc,HS or less,Reduced a little,Yes,Republican,Obama,White,Female,2008,2110.0,1.0,0.437744751
43,40-49,,,,,College,Some college,,No,Independent,Obama,White,Male,2008,2110.0,1.0,0.437744751
37,30-39,68516.25,60K-80K,11.134826222393984,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,White,Female,2008,2110.0,1.0,0.437744751
30,30-39,,,,Increase or stay the same,College,Some college,Remain the same,Yes,Independent,Obama,Other,Female,2008,2110.0,1.0,2.135340251
53,50-59,,,,Decrease,HS or assoc,Some college,Reduced a little,No,Independent,Obama,White,Female,2008,2110.0,2.0,1.750979005
78,70+,,,,,College,Some college,,Yes,Republican,Obama,White,Female,2008,2110.0,2.0,2.135340251
38,30-39,68516.25,60K-80K,11.134826222393984,Increase or stay the same,College,Some college,Increased a little,No,Republican,Obama,Other,Female,2008,2110.0,2.0,0.875489503
64,60-69,,,,,HS or assoc,HS or less,,Yes,Democrat,Obama,Other,Female,2008,2111.0,1.0,0.875489503
60,60-69,,,,Increase or stay the same,HS or assoc,HS or less,Increased a lot,No,Independent,Obama,White,Female,2008,2111.0,1.0,2.135340251
55,50-59,,,,,HS or assoc,HS or less,,Yes,,Obama,White,Female,2008,2111.0,1.0,0.875489503
28,18-29,,,,,College,Some college,,Yes,Democrat,Obama,White,Female,2008,2111.0,2.0,0.875489503
46,40-49,,,,Increase or stay the same,HS or assoc,HS or less,Remain the same,No,Democrat,Obama,Black,Female,2008,2111.0,2.0,0.437744751
38,30-39,99660.0,80K-100K,11.509519671835395,Increase or stay the same,College,Some college,Remain the same,Yes,Democrat,Obama,Other,Male,2008,2112.0,1.0,0.875489503
55,50-59,83050.0,80K-100K,11.32719811504144,Decrease,College,Some college,Reduced a lot,No,Democrat,Obama,White,Female,2008,2112.0,1.0,0.437744751
39,30-39,175621.4138,160K+,12.076085899217535,Decrease,College,Some college,Reduced a lot,No,Democrat,Obama,White,Female,2008,2112.0,1.0,2.135340251
39,30-39,22838.75,20K-30K,10.036213933725875,Decrease,HS or assoc,HS or less,Reduced a little,No,Republican,Obama,White,Female,2008,2112.0,1.0,1.313234254
44,40-49,68516.25,60K-80K,11.134826222393984,Decrease,College,Some college,Reduced a lot,No,Republican,Obama,White,Male,2008,2112.0,1.0,0.437744751
60,60-69,56058.75,40K-60K,10.934155526931834,Decrease,College,Some college,Reduced a lot,No,Republican,Obama,White,Female,2008,2112.0,2.0,0.875489503
34,30-39,175621.4138,160K+,12.076085899217535,,HS or assoc,Some college,,No,Republican,Obama,White,Female,2008,2112.0,2.0,0.875489503
53,50-59,175621.4138,160K+,12.076085899217535,,College,Some college,,Yes,Independent,Obama,White,Female,2008,2112.0,2.0,0.875489503
22,18-29,9343.125,<20K,9.14239605770378,,HS or assoc,HS or less,,No,Democrat,Obama,White,Male,2008,2112.0,2.0,0.437744751
42,40-49,56058.75,40K-60K,10.934155526931834,Decrease,College,Some college,Reduced a lot,Yes,Republican,Obama,White,Female,2008,2113.0,1.0,2.135340251
25,18-29,68516.25,60K-80K,11.134826222393984,Decrease,HS or assoc,HS or less,Reduced a little,No,Democrat,Obama,Black,Male,2008,2113.0,1.0,0.875489503
50,50-59,116270.0,100K-160K,11.663670351662654,Decrease,College,Some college,Reduced a little,No,Democrat,Obama,Black,Male,2008,2113.0,1.0,0.875489503
24,18-29,26991.25,20K-30K,10.203268018389041,Decrease,HS or assoc,HS or less,Reduced a lot,No,Democrat,Obama,Black,Male,2008,2113.0,1.0,4.377447514
67,60-69,22838.75,20K-30K,10.036213933725875,Decrease,College,Some college,Reduced a lot,No,Democrat,Obama,Black,Female,2008,2113.0,2.0,0.437744751
27,18-29,45677.5,40K-60K,10.72936111428582,Decrease,HS or assoc,HS or less,Reduced a lot,No,Independent,Obama,Black,Male,2008,2113.0,2.0,0.875489503
65,60-69,83050.0,80K-100K,11.32719811504144,Increase or stay the same,College,Some college,Increased a little,No,Democrat,Obama,White,Male,2008,2113.0,2.0,3.203010376
43,40-49,175621.4138,160K+,12.076085899217535,Increase or stay the same,College,Some college,Increased a little,No,Democrat,Obama,White,Male,2008,2113.0,2.0,0.875489503
26,18-29,9343.125,<20K,9.14239605770378,Decrease,HS or assoc,HS or less,Reduced a lot,No,Democrat,Obama,Black,Male,2008,2114.0,1.0,0.875489503
