,year,age,income,vpsu,vstrat,wtssnrps,education_cat_High school or less,education_cat_Master's,education_cat_No schooling,education_cat_Ph. D/Doctorate,president_cat_Trump,sex_cat_Male,race_cat_Other,race_cat_White,party_cat_Independent,party_cat_Republican,language_cat_Yes,attitude_cat_Increased a lot,attitude_cat_Reduced a little,attitude_cat_Reduced a lot,attitude_cat_Remained the same,immigration_cat_Stay same and Increase
0,2010,31.0,66239.25,1,2240,1.083752974,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
1,2010,23.0,13047.125,1,2240,0.456877403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,2010,71.0,17061.625,2,2240,0.4624039,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,2010,82.0,7226.1,2,2240,0.557622139,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
4,2010,78.0,,1,2241,1.286241834,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2010,40.0,9032.625,1,2241,0.547025567,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6,2010,46.0,66239.25,1,2241,0.546233796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010,80.0,17061.625,1,2241,0.42427689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2010,31.0,,2,2241,5.171595255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2010,,,2,2241,1.25744641,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,2010,31.0,44159.5,2,2241,1.88463687,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,2010,21.0,36130.5,2,2241,3.180393728,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
12,2010,58.0,80290.0,1,2242,0.660355825,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,2010,36.0,19068.875,1,2242,0.816157482,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
14,2010,57.0,13047.125,1,2242,0.923153553,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
15,2010,28.0,3613.05,1,2242,1.371418422,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16,2010,80.0,11039.875,2,2242,0.511644012,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,2010,84.0,,2,2242,0.448606074,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
18,2010,51.0,54195.75,2,2242,1.068273046,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
19,2010,35.0,66239.25,1,2243,0.451932286,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
20,2010,49.0,44159.5,1,2243,0.563338879,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
21,2010,56.0,80290.0,1,2243,3.246524759,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22,2010,88.0,,2,2243,0.372003161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,2010,23.0,2810.15,2,2243,0.381604114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2010,35.0,152908.1861,1,2244,2.247914249,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
25,2010,26.0,152908.1861,1,2244,1.135806978,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
26,2010,21.0,,1,2244,1.012549793,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
27,2010,21.0,4415.95,1,2244,0.556902386,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,2010,33.0,54195.75,2,2244,0.39567769,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
29,2010,53.0,152908.1861,2,2244,0.943851957,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
30,2010,63.0,,2,2244,0.974039425,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
31,2010,34.0,152908.1861,2,2244,0.895335147,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
32,2010,75.0,,1,2245,1.06251975,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
33,2010,78.0,,1,2245,0.936236673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,2010,57.0,112406.0,1,2245,0.494301212,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
35,2010,43.0,,2,2245,0.890253765,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
36,2010,84.0,44159.5,2,2245,0.445382615,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
37,2010,53.0,112406.0,2,2245,0.925808286,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
38,2010,83.0,54195.75,2,2245,0.511644012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
39,2010,69.0,152908.1861,2,2245,1.86176075,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
40,2010,24.0,15054.375,1,2246,1.625590126,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
41,2010,33.0,54195.75,1,2246,2.882572254,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
42,2010,23.0,,1,2246,0.998822833,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
43,2010,25.0,66239.25,1,2246,0.719323029,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
44,2010,66.0,,2,2246,1.15070767,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
45,2010,20.0,17061.625,2,2246,2.09610968,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
46,2010,37.0,66239.25,2,2246,1.548564406,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,2010,64.0,22079.75,1,2247,0.800745993,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2010,45.0,54195.75,1,2247,0.643128761,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
49,2010,40.0,,1,2247,4.520879312,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50,2010,80.0,44159.5,1,2247,0.875612724,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,2010,60.0,96348.0,2,2247,2.040909771,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
52,2010,49.0,152908.1861,2,2247,1.016347039,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
53,2010,22.0,54195.75,2,2247,1.057029694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,2010,63.0,96348.0,2,2247,1.084854214,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
55,2010,72.0,11039.875,1,2248,0.5118131,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
56,2010,42.0,80290.0,1,2248,1.873532042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,2010,54.0,152908.1861,1,2248,1.215038804,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2010,21.0,17061.625,1,2248,1.40830305,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
59,2010,26.0,26094.25,2,2248,0.456877403,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
60,2010,31.0,54195.75,2,2248,0.695296581,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
61,2010,41.0,2810.15,2,2248,0.606371635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62,2010,84.0,,1,2249,1.631294814,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
63,2010,19.0,,1,2249,1.483139357,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
64,2010,34.0,,1,2249,1.731370661,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
65,2010,44.0,80290.0,2,2249,1.349794005,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
66,2010,45.0,44159.5,2,2249,1.441301187,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
67,2010,28.0,401.45,2,2249,2.997340784,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
68,2010,46.0,13047.125,2,2249,1.198789384,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
69,2010,50.0,54195.75,1,2250,1.48954917,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
70,2010,40.0,112406.0,1,2250,0.895710072,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
71,2010,42.0,152908.1861,2,2250,0.56432932,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
72,2010,19.0,,2,2250,4.837580316,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
73,2010,53.0,36130.5,2,2250,0.531099611,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
