age,age_cat,coninc,coninc_quantiles,degree,ethnic,hs_or_college,race,region,sex,talkspvs,year,vstrat,vpsu,wtsscomp
47,40-49,37372.5,"(36306.0, 60354.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Male,,2008,2106.0,1.0,2.135340251
32,30-39,31143.75,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Male,,2008,2106.0,1.0,1.313234254
72,70+,,,College,Africa,Some college,Black,Middle Atlantic,Male,,2008,2106.0,2.0,0.875489503
40,40-49,99660.0,"(60354.0, 180386.0]",College,Africa,Some college,Black,Middle Atlantic,Male,,2008,2107.0,1.0,0.437744751
46,40-49,,,HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2111.0,2.0,0.437744751
50,50-59,116270.0,"(60354.0, 180386.0]",College,Africa,Some college,Black,Middle Atlantic,Male,,2008,2113.0,1.0,0.875489503
24,18-29,26991.25,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Male,,2008,2113.0,1.0,4.377447514
67,60-69,22838.75,"(18455.0, 36306.0]",College,Africa,Some college,Black,Middle Atlantic,Female,,2008,2113.0,2.0,0.437744751
27,18-29,45677.5,"(36306.0, 60354.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Male,,2008,2113.0,2.0,0.875489503
50,50-59,7474.5,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Middle Atlantic,Male,,2008,2114.0,2.0,1.067670125
50,50-59,56058.75,"(36306.0, 60354.0]",College,Africa,Some college,Black,Middle Atlantic,Male,,2008,2117.0,1.0,0.875489503
24,18-29,22838.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2008,2122.0,1.0,0.875489503
20,18-29,22838.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2122.0,1.0,1.313234254
41,40-49,68516.25,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2008,2122.0,1.0,0.875489503
79,70+,31143.75,"(18455.0, 36306.0]",HS or assoc,Mexico,Some college,White,Pacific,Male,,2008,2125.0,1.0,1.067670125
28,18-29,37372.5,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Male,,2008,2126.0,1.0,0.875489503
22,18-29,22838.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2008,2126.0,1.0,0.875489503
47,40-49,13495.625,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2008,2126.0,1.0,1.313234254
34,30-39,22838.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2008,2126.0,1.0,0.875489503
63,60-69,415.25,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,Pacific,Female,,2008,2126.0,2.0,0.437744751
21,18-29,17648.125,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2008,2127.0,2.0,1.313234254
40,40-49,11419.375,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2127.0,2.0,0.875489503
50,50-59,26991.25,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2128.0,1.0,1.750979005
24,18-29,83050.0,"(60354.0, 180386.0]",College,Mexico,Some college,White,Pacific,Male,,2008,2128.0,1.0,4.270680501
57,50-59,45677.5,"(36306.0, 60354.0]",HS or assoc,Africa,Some college,Black,Pacific,Male,,2008,2128.0,2.0,0.875489503
60,60-69,9343.125,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Pacific,Male,,2008,2130.0,1.0,0.437744751
30,30-39,11419.375,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2008,2130.0,2.0,0.875489503
53,50-59,83050.0,"(60354.0, 180386.0]",College,Mexico,Some college,White,Pacific,Male,,2008,2131.0,1.0,0.437744751
46,40-49,19724.375,"(18455.0, 36306.0]",College,Africa,Some college,Black,Pacific,Female,,2008,2131.0,1.0,0.437744751
37,30-39,56058.75,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2008,2132.0,1.0,0.875489503
69,60-69,6228.75,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2008,2132.0,1.0,0.437744751
41,40-49,26991.25,"(18455.0, 36306.0]",College,Africa,Some college,Black,East North Central,Female,,2008,2134.0,2.0,0.875489503
54,50-59,1661.0,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,East North Central,Male,,2008,2135.0,2.0,1.750979005
45,40-49,11419.375,"(335.999, 18455.0]",No degree,Mexico,HS or less,Black,East North Central,Female,,2008,2136.0,1.0,0.437744751
23,18-29,15571.875,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,East North Central,Male,,2008,2136.0,1.0,0.875489503
20,18-29,31143.75,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Other,East North Central,Female,,2008,2136.0,1.0,1.750979005
34,30-39,,,HS or assoc,Mexico,HS or less,White,East North Central,Female,,2008,2136.0,1.0,0.875489503
36,30-39,17648.125,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,East North Central,Male,,2008,2139.0,1.0,0.875489503
63,60-69,45677.5,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,White,East North Central,Male,,2008,2140.0,2.0,0.875489503
49,40-49,68516.25,"(60354.0, 180386.0]",HS or assoc,Africa,Some college,Black,East North Central,Male,,2008,2141.0,1.0,0.875489503
47,40-49,99660.0,"(60354.0, 180386.0]",HS or assoc,Africa,HS or less,Black,Pacific,Male,,2008,2142.0,1.0,2.188723757
77,70+,22838.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2008,2143.0,1.0,0.875489503
26,18-29,11419.375,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2143.0,1.0,3.203010376
27,18-29,9343.125,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2008,2145.0,1.0,0.437744751
28,18-29,68516.25,"(60354.0, 180386.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2145.0,1.0,0.875489503
22,18-29,15571.875,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2008,2145.0,2.0,0.875489503
20,18-29,6228.75,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Male,,2008,2147.0,1.0,0.875489503
18,18-29,68516.25,"(60354.0, 180386.0]",HS or assoc,Africa,HS or less,Black,Pacific,Female,,2008,2147.0,2.0,4.270680501
44,40-49,56058.75,"(36306.0, 60354.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2008,2148.0,1.0,1.313234254
52,50-59,26991.25,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2008,2148.0,1.0,1.313234254
36,30-39,83050.0,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2008,2148.0,1.0,2.135340251
36,30-39,45677.5,"(36306.0, 60354.0]",HS or assoc,Africa,Some college,Black,Middle Atlantic,Female,,2008,2150.0,1.0,2.135340251
26,18-29,9343.125,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2150.0,1.0,1.313234254
32,30-39,37372.5,"(36306.0, 60354.0]",HS or assoc,Africa,Some college,Black,Middle Atlantic,Female,,2008,2150.0,1.0,0.875489503
19,18-29,37372.5,"(36306.0, 60354.0]",No degree,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2150.0,1.0,1.313234254
52,50-59,,,HS or assoc,Africa,Some college,Black,Middle Atlantic,Female,,2008,2150.0,1.0,0.875489503
36,30-39,4567.75,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2150.0,2.0,0.875489503
42,40-49,31143.75,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2151.0,1.0,0.437744751
40,40-49,5398.25,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2151.0,2.0,0.437744751
38,30-39,15571.875,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Middle Atlantic,Female,,2008,2151.0,2.0,0.437744751
40,40-49,,,College,Africa,Some college,Black,Middle Atlantic,Female,,2008,2152.0,2.0,2.135340251
48,40-49,83050.0,"(60354.0, 180386.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2008,2154.0,1.0,0.875489503
55,50-59,,,HS or assoc,Africa,HS or less,Black,Middle Atlantic,Male,,2008,2154.0,2.0,0.875489503
